release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.80.0-alpha.5,prerelease,2026-01-08T21:20:01-08:00,0.2076,1342.0,6464.86,codex-rs/debug-client/src/client.rs (398); codex-rs/debug-client/src/reader.rs (332); codex-rs/debug-client/src/main.rs (293); codex-rs/debug-client/src/commands.rs (156); codex-rs/debug-client/src/output.rs (121); codex-rs/debug-client/src/state.rs (28); codex-rs/chatgpt/src/chatgpt_token.rs (9); codex-rs/backend-client/src/client.rs (4)
rust-v0.81.0-alpha.8,prerelease,2026-01-13T17:04:01-08:00,0.0855,195.0,2281.5,scripts/mock_responses_websocket_server.py (195)
rust-v0.82.0-alpha.2,prerelease,2026-01-14T18:55:45Z,0.7732,1234.0,1595.9,codex-rs/utils/pty/src/lib.rs (288); codex-rs/utils/pty/src/tests.rs (242); codex-rs/utils/pty/src/pipe.rs (232); codex-rs/utils/pty/src/pty.rs (174); codex-rs/utils/pty/src/process.rs (147); codex-rs/utils/pty/src/process_group.rs (135); codex-rs/codex-client/src/default_client.rs (16)
rust-v0.87.0-alpha.2,prerelease,2026-01-16T15:59:37+01:00,0.371,64.0,172.5,codex-rs/utils/pty/src/pipe.rs (62); codex-rs/utils/pty/src/lib.rs (2)
rust-v0.88.0-alpha.4,prerelease,2026-01-19T11:36:01Z,0.0737,67.0,908.5,codex-rs/utils/pty/src/tests.rs (43); codex-rs/utils/pty/src/process_group.rs (22); codex-rs/utils/pty/src/pipe.rs (2)
rust-v0.88.0-alpha.8,prerelease,2026-01-19T13:43:31-08:00,0.0857,21.0,245.0,codex-rs/docs/protocol_v1.md (21)
rust-v0.90.0-alpha.3,prerelease,2026-01-24T15:58:43+01:00,0.4315,3112.0,7211.46,codex-rs/network-proxy/src/runtime.rs (984); codex-rs/network-proxy/src/http_proxy.rs (636); codex-rs/network-proxy/src/config.rs (433); codex-rs/network-proxy/src/state.rs (419); codex-rs/network-proxy/src/upstream.rs (188); codex-rs/network-proxy/src/proxy.rs (176); codex-rs/network-proxy/src/admin.rs (160); codex-rs/network-proxy/src/responses.rs (67)
rust-v0.93.0-alpha.1,prerelease,2026-01-27T15:04:15-08:00,0.1196,634.0,5299.6,codex-rs/network-proxy/src/socks5.rs (320); codex-rs/network-proxy/src/http_proxy.rs (110); codex-rs/network-proxy/src/proxy.rs (56); codex-rs/network-proxy/src/config.rs (50); codex-rs/codex-backend-openapi-models/src/models/config_file_response.rs (40); codex-rs/network-proxy/src/runtime.rs (26); codex-rs/backend-client/src/client.rs (15); PNPM.md (6)
rust-v0.93.0-alpha.6,prerelease,2026-01-28T13:49:37-07:00,0.417,913.0,2189.3,codex-rs/file-search/src/lib.rs (913)
rust-v0.93.0-alpha.7,prerelease,2026-01-28T21:14:53-07:00,0.091,289.0,3175.04,codex-rs/utils/cargo-bin/src/lib.rs (221); codex-rs/chatgpt/src/chatgpt_client.rs (51); codex-rs/docs/protocol_v1.md (9); .bazelrc (6); codex-rs/utils/cargo-bin/repo_root.marker (1); .bazelignore (1)
