release,previous_release,release_date,previous_release_date,release_kind,commit,previous_commit,commits,files_changed,raw_insertions,raw_deletions,raw_churn,weighted_churn_points,generated_raw_churn,generated_weighted_churn_points,dominant_change_type,top_paths
rust-v0.50.0,rust-v0.49.0,2025-10-25T14:16:35-07:00,2025-10-24T11:36:20-07:00,stable-rollup,444f72a05929433203ff6e90f5fa8c48a01ebc6c,6c37f9e24a56cfc2e22fe29a8802f78407331e79,19,79,2438,391,2829,2626.96,139,20.06,Feature,codex-rs/tui/src/bottom_pane/feedback_view.rs (613); codex-rs/core/src/sandboxing/assessment.rs (275); codex-rs/app-server/tests/suite/send_message.rs (211); codex-rs/core/src/default_client.rs (139); codex-rs/core/src/codex.rs (132)
rust-v0.51.0,rust-v0.50.0,2025-10-30T09:05:38-07:00,2025-10-25T14:16:35-07:00,stable-rollup,75e02eef022b38031a391f7c42910103a36b24fa,444f72a05929433203ff6e90f5fa8c48a01ebc6c,66,239,13492,4895,18387,16258.3,1062,195.3,Feature,codex-rs/core/src/codex.rs (1295); codex-rs/core/src/{config.rs => config/mod.rs} (975); codex-rs/core/src/config/edit.rs (954); codex-rs/core/src/config_edit.rs (748); codex-rs/core/src/auth/storage.rs (672)
rust-v0.52.0,rust-v0.51.0,2025-10-30T11:09:31-07:00,2025-10-30T09:05:38-07:00,stable-rollup,6440ac845f6e4c26cf4c93d5916576d87a851155,75e02eef022b38031a391f7c42910103a36b24fa,3,5,1029,4,1033,724.9,0,0.0,Build / Release,codex-rs/core/tests/suite/apply_patch_freeform.rs (1001); codex-rs/core/tests/common/test_codex.rs (24); codex-rs/cli/src/mcp_cmd.rs (4); codex-rs/core/tests/suite/mod.rs (2); codex-rs/Cargo.toml (2)
rust-v0.53.0,rust-v0.52.0,2025-10-30T17:56:29-07:00,2025-10-30T11:09:31-07:00,stable-rollup,0843867ce0817f7d840f209bd6e9d144ade3755d,6440ac845f6e4c26cf4c93d5916576d87a851155,14,76,4816,1736,6552,6005.9,383,76.6,Build / Release,codex-rs/app-server-protocol/src/protocol.rs (1365); codex-rs/app-server-protocol/src/protocol/common.rs (685); codex-rs/windows-sandbox-rs/src/lib.rs (452); codex-rs/app-server-protocol/src/protocol/v1.rs (405); codex-rs/windows-sandbox-rs/Cargo.lock (369)
rust-v0.54.0,rust-v0.53.0,2025-11-04T10:31:30-08:00,2025-10-30T17:56:29-07:00,stable-rollup,74d88242bf3143a7bb28c3edfeed3746e733391c,0843867ce0817f7d840f209bd6e9d144ade3755d,44,97,2980,689,3669,3100.44,114,21.54,Docs / Tests,codex-rs/core/tests/suite/compact.rs (519); codex-rs/core/tests/suite/undo.rs (491); docs/example-config.md (374); codex-rs/core/src/conversation_history.rs (177); codex-rs/core/tests/suite/shell_serialization.rs (160)
rust-v0.55.0,rust-v0.54.0,2025-11-04T12:00:54-08:00,2025-11-04T10:31:30-08:00,stable-rollup,d5c36e37cc244edf2b07b09b2a27f76c54f47639,74d88242bf3143a7bb28c3edfeed3746e733391c,3,7,71,61,132,116.4,0,0.0,Build / Release,codex-rs/core/tests/suite/codex_delegate.rs (52); .github/actions/setup-musl-1_2_5/action.yml (47); .github/workflows/rust-ci.yml (12); .github/workflows/rust-release.yml (8); codex-rs/core/src/tasks/review.rs (6)
rust-v0.56.0,rust-v0.55.0,2025-11-07T09:46:07-08:00,2025-11-04T12:00:54-08:00,stable-rollup,b740f84a151470f483e6311114170fb82a45f878,d5c36e37cc244edf2b07b09b2a27f76c54f47639,32,109,7284,2664,9948,8597.22,80,11.92,Feature,codex-rs/app-server/src/codex_message_processor.rs (1470); codex-rs/core/src/conversation_history.rs (1349); codex-rs/core/src/context_manager/history_tests.rs (841); codex-rs/app-server-protocol/src/protocol/v2.rs (616); codex-rs/app-server/tests/suite/v2/turn_start.rs (486)
rust-v0.57.0,rust-v0.56.0,2025-11-09T14:07:45-08:00,2025-11-07T09:46:07-08:00,stable-rollup,d271027b8d6e01580ccc746e56e807b8b834cc87,b740f84a151470f483e6311114170fb82a45f878,25,60,2208,854,3062,2642.1,13,2.6,Feature,codex-rs/core/tests/suite/unified_exec.rs (273); codex-rs/app-server/README.md (240); codex-rs/app-server/tests/suite/v2/account.rs (231); codex-rs/core/tests/suite/approvals.rs (216); codex-rs/core/tests/suite/otel.rs (185)
rust-v0.58.0,rust-v0.57.0,2025-11-13T09:39:02-08:00,2025-11-09T14:07:45-08:00,stable-rollup,0b6d70cc0d2451e743033756132cd51531d2876f,d271027b8d6e01580ccc746e56e807b8b834cc87,62,131,5885,1321,7206,6518.62,352,60.92,Feature,codex-rs/app-server/src/codex_message_processor.rs (386); codex-rs/cli/src/debug_sandbox/pid_tracker.rs (372); codex-rs/core/gpt_5_1_prompt.md (370); codex-rs/tui/src/model_migration.rs (266); codex-rs/common/src/model_presets.rs (244)
rust-v0.59.0,rust-v0.58.0,2025-11-19T09:48:27-08:00,2025-11-13T09:39:02-08:00,stable-rollup,ab16f9651cba5b9abe2bea28d5404d4d6b81474d,0b6d70cc0d2451e743033756132cd51531d2876f,114,275,19973,31237,51210,24045.26,1669,298.96,Feature,codex-rs/tui/tests/fixtures/binary-size-log.jsonl (24109); codex-rs/app-server-test-client/Cargo.lock (1298); codex-rs/core/tests/suite/apply_patch_freeform.rs (1001); codex-rs/app-server/src/bespoke_event_handling.rs (984); codex-rs/core/tests/suite/shell_serialization.rs (898)
rust-v0.60.1,rust-v0.59.0,2025-11-19T11:22:45-08:00,2025-11-19T09:48:27-08:00,stable-rollup,27a4f19aa19bc6ce05abdb637ec8f3edc778eeb2,ab16f9651cba5b9abe2bea28d5404d4d6b81474d,8,22,604,102,706,661.72,48,6.72,Feature,codex-rs/tui/src/status/tests.rs (271); codex-rs/tui/src/status/rate_limits.rs (96); codex-rs/windows-sandbox-rs/src/audit.rs (70); codex-rs/tui/src/status/card.rs (60); codex-rs/backend-client/src/client.rs (37)
rust-v0.61.0,rust-v0.60.1,2025-11-20T07:50:17-08:00,2025-11-19T11:22:45-08:00,stable-rollup,71a7bed2fc8d98947583bdd89942f7a3010d267d,27a4f19aa19bc6ce05abdb637ec8f3edc778eeb2,13,50,1461,389,1850,1816.1,3,0.6,Docs / Tests,codex-rs/core/src/exec_policy.rs (365); codex-rs/exec-server/src/posix.rs (145); codex-rs/exec-server/src/posix/mcp_escalation_policy.rs (117); codex-rs/core/src/truncate.rs (114); codex-rs/core/tests/suite/exec_policy.rs (101)
rust-v0.62.0,rust-v0.61.0,2025-11-21T08:59:38-08:00,2025-11-20T07:50:17-08:00,stable-rollup,d5adf7b3364bd7c577e39b6a2cd3d32a8dad89ea,71a7bed2fc8d98947583bdd89942f7a3010d267d,41,195,5915,2293,8208,7637.18,131,25.78,Feature,codex-rs/core/src/text_encoding.rs (461); .github/workflows/shell-tool-mcp.yml (412); codex-rs/app-server/src/bespoke_event_handling.rs (358); codex-rs/app-server/tests/suite/v2/turn_start.rs (334); codex-rs/tui/src/history_cell.rs (327)
rust-v0.63.0,rust-v0.62.0,2025-11-21T10:00:39-08:00,2025-11-21T08:59:38-08:00,stable-rollup,e37088e1b3e5d56acac2ec97b56d926130257dd7,d5adf7b3364bd7c577e39b6a2cd3d32a8dad89ea,4,12,277,87,364,322.0,0,0.0,Build / Release,codex-rs/app-server/src/bespoke_event_handling.rs (148); codex-rs/app-server/tests/suite/v2/turn_start.rs (140); codex-rs/core/src/openai_model_info.rs (37); codex-rs/core/src/config/mod.rs (16); .github/workflows/rust-release.yml (8)
rust-v0.64.0,rust-v0.63.0,2025-12-02T13:51:19-08:00,2025-11-21T10:00:39-08:00,stable-rollup,26f4170088aa59894d050f9c10ea09acd4ff2be6,e37088e1b3e5d56acac2ec97b56d926130257dd7,81,222,12097,4204,16301,14963.3,169,33.8,Build / Release,codex-rs/core/src/client.rs (1693); codex-rs/core/src/chat_completions.rs (981); codex-rs/app-server/src/config_api.rs (974); codex-rs/app-server/src/bespoke_event_handling.rs (685); codex-rs/codex-api/src/sse/responses.rs (672)
rust-v0.65.0,rust-v0.64.0,2025-12-04T09:55:41-08:00,2025-12-02T13:51:19-08:00,stable-rollup,dcaedf2a4fccb477bccbae5744809c5e45891f2e,26f4170088aa59894d050f9c10ea09acd4ff2be6,56,145,6297,1729,8026,7702.92,65,10.72,Feature,codex-rs/tui/src/bottom_pane/chat_composer.rs (467); codex-rs/utils/git/src/ghost_commits.rs (325); codex-rs/exec/src/lib.rs (305); codex-rs/core/src/skills/loader.rs (291); codex-rs/core/src/rollout/tests.rs (286)
rust-v0.66.0,rust-v0.65.0,2025-12-08T19:05:23-08:00,2025-12-04T09:55:41-08:00,stable-rollup,d82801d73bc8e236221f8340282a1f07917c7221,dcaedf2a4fccb477bccbae5744809c5e45891f2e,73,212,7674,1829,9503,8664.86,150,26.76,Docs / Tests,codex-rs/core/src/exec_policy.rs (607); codex-rs/core/src/codex.rs (506); codex-rs/core/src/openai_models/models_manager.rs (394); codex-rs/cloud-tasks/src/lib.rs (377); codex-rs/core/tests/suite/unified_exec.rs (350)
rust-v0.67.0,rust-v0.66.0,2025-12-10T11:10:19-08:00,2025-12-08T19:05:23-08:00,stable-rollup,9eacb5ba093beb4266e37fb18962a7e548d9503d,d82801d73bc8e236221f8340282a1f07917c7221,24,83,4240,727,4967,4734.7,41,8.2,Feature,codex-rs/core/src/shell_snapshot.rs (463); codex-rs/windows-sandbox-rs/src/acl.rs (342); codex-rs/core/tests/suite/unified_exec.rs (339); codex-rs/utils/pty/src/win/psuedocon.rs (322); codex-rs/rmcp-client/src/perform_oauth_login.rs (283)
rust-v0.68.0,rust-v0.67.0,2025-12-10T12:33:29-08:00,2025-12-10T11:10:19-08:00,stable-rollup,658ba484e9fd5583e1546076ad726a9dec22c72c,9eacb5ba093beb4266e37fb18962a7e548d9503d,12,113,1763,1511,3274,2922.12,131,26.02,Build / Release,codex-rs/core/src/sandboxing/assessment.rs (268); codex-rs/app-server/src/config_api.rs (190); codex-rs/codex-client/src/default_client.rs (143); codex-rs/tui/src/bottom_pane/chat_composer.rs (136); codex-rs/core/src/default_client.rs (134)
rust-v0.69.0,rust-v0.68.0,2025-12-10T14:01:08-08:00,2025-12-10T12:33:29-08:00,stable-rollup,c1c0f8c1ba892744dfa3f0683089fafadcba9fcb,658ba484e9fd5583e1546076ad726a9dec22c72c,4,26,808,139,947,866.0,0,0.0,Feature,codex-rs/app-server-protocol/src/protocol/v2.rs (139); codex-rs/core/tests/suite/skills.rs (136); codex-rs/app-server/tests/suite/v2/config_rpc.rs (114); codex-rs/core/src/codex.rs (81); codex-rs/core/src/skills/injection.rs (78)
